Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,ID,Height,Weight,Wingspan,Stading Reach,Vertical,Max Vert,Age,Birthday,Reaction Shuttle,Lane Agility,3/4 Sprint
29,Zach Edey,Oct 23 '24 MEM @ UTA,22,2,77,1700,313,531,19,57,115,159,275,670,77,43,106,114,219,760,0.589,0.333,0.723,22.1,9.9,8.7,1,0.6,1.4,edeyza01,87.75,299,7′ 10.75”,9′ 7.00”,26,31.5,22.17,03/14/02,3.01,11.19,3.42
17,Donovan Clingan,Oct 23 '24 POR vs. GSW,20,2,117,2698,402,758,63,203,142,224,450,1097,176,57,180,126,307,1009,0.53,0.31,0.634,23.1,8.6,9.4,1.5,0.5,1.5,clingdo01,85.75,282,7′ 6.75”,9′ 7.00”,25.5,29,20.23,02/23/04,3.38,12.06,3.46
73,Quinten Post,Dec 27 '24 GSW @ LAC,24,2,96,1609,276,626,152,408,46,57,86,354,129,39,44,73,186,750,0.441,0.373,0.807,16.8,7.8,3.7,1.3,0.4,0.5,postqu01,84,244.4,7′ 2.50”,9′ 4.00”,24,27,24.15,03/21/00,3.03,11.48,3.4
81,Alex Sarr,Oct 24 '24 WAS vs. BOS,19,2,108,2970,611,1403,145,460,206,301,220,754,276,78,183,184,231,1573,0.435,0.315,0.684,27.5,14.6,7,2.6,0.7,1.7,sarral01,83.75,224.2,7′ 4.25”,9′ 2.00”,30.5,37,19.05,04/26/05,3.23,11.43,3.27
99,Kel'el Ware,Oct 23 '24 MIA vs. ORL,20,2,115,2557,486,893,93,257,103,140,265,941,89,78,123,103,193,1168,0.544,0.362,0.736,22.2,10.2,8.2,0.8,0.7,1.1,wareke01,83.75,230,7′ 4.50”,9′ 4.50”,32.5,36,20.07,04/20/04,2.91,10.97,3.29
30,Jesse Edwards,Mar 2 '25 MIN @ PHO,24,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,,2.5,0,0,0.5,0,0,edwarje01,83.5,236,7′ 5.00”,9′ 3.00”,30.5,35.5,24.16,03/18/00,3.23,11.24,3.33
42,Ariel Hukporti,Oct 22 '24 NYK @ BOS,22,2,62,548,47,79,1,4,24,38,51,157,30,6,35,41,79,119,0.595,0.25,0.632,8.8,1.9,2.5,0.5,0.1,0.6,hukpoar01,82.75,246.2,7′ 2.50”,9′ 3.00”,,,22.09,04/12/02,,,
33,Kyle Filipowski,Oct 25 '24 UTA vs. GSW,21,2,125,2701,450,911,122,353,183,269,208,795,248,88,44,174,323,1205,0.494,0.346,0.68,21.6,9.6,6.4,2,0.7,0.4,filipky01,82.75,229.8,6′ 10.50”,8′ 11.00”,27,32.5,20.52,11/07/03,2.93,11.43,3.19
66,Yves Missi,Oct 23 '24 NOP vs. CHI,20,2,120,2863,382,702,0,2,164,269,392,866,156,52,162,118,226,928,0.544,0,0.61,23.9,7.7,7.2,1.3,0.4,1.4,missiyv01,82.75,229.4,7′ 2.00”,9′ 1.50”,31,38.5,20,05/14/04,3.12,11.45,3.12
14,Ulrich Chomche,Oct 23 '24 TOR vs. CLE,19,1,7,32,2,5,0,0,1,2,4,8,2,0,1,2,5,5,0.4,,0.5,4.6,0.7,1.1,0.3,0,0.1,chomcul01,82.25,232.4,7′ 4.00”,9′ 1.00”,29,35.5,18.37,12/30/05,2.84,11.74,3.1
24,N'Faly Dante,Mar 3 '25 HOU @ OKC,23,2,8,66,11,17,0,0,5,6,9,28,2,3,5,3,10,27,0.647,,0.833,8.3,3.4,3.5,0.3,0.4,0.6,nfalyda01,82,260.2,7′ 6.00”,9′ 3.00”,27,33,22.57,10/19/01,3.04,11.55,3.23
43,Oso Ighodaro,Oct 23 '24 PHO @ LAC,22,2,114,2107,239,391,0,3,64,121,141,458,164,78,59,107,237,542,0.611,0,0.529,18.5,4.8,4,1.4,0.7,0.5,ighodos01,81.5,222,6′ 11.00”,8′ 8.50”,35,39.5,21.87,07/02/02,3.12,11.25,3.09
89,Tyler Smith,Oct 23 '24 MIL @ PHI,20,1,23,122,24,50,13,30,6,8,6,25,4,3,4,8,11,67,0.48,0.433,0.75,5.3,2.9,1.1,0.2,0.1,0.2,smithty02,81,223.8,7′ 1.00”,8′ 9.00”,32,38,19.53,11/02/04,2.99,10.74,3.28
54,Bobi Klintman,Jan 8 '25 DET @ BRK,21,2,16,102,13,32,5,16,1,5,6,24,11,4,1,6,18,32,0.406,0.313,0.2,6.4,2,1.5,0.7,0.3,0.1,klintbo01,80.75,212.2,6′ 11.00”,8′ 10.50”,26.5,32.5,21.19,03/05/03,3.21,11.49,3.23
9,Matas Buzelis,Oct 23 '24 CHI @ NOP,20,2,134,3037,545,1173,206,563,211,266,112,566,189,64,154,175,259,1507,0.465,0.366,0.793,22.7,11.2,4.2,1.4,0.5,1.1,buzelma01,80.75,197,6′ 10.00”,8′ 9.50”,31,38,19.59,10/13/04,2.9,10.73,3.09
80,Tidjane Salaün,Oct 26 '24 CHO vs. MIA,19,2,91,1741,187,486,89,275,88,124,94,415,100,41,21,82,132,551,0.385,0.324,0.71,19.1,6.1,4.6,1.1,0.5,0.2,salauti01,80.75,217.4,7′ 1.50”,9′ 2.00”,,32,18.76,08/10/05,,,
77,Zaccharie Risacher,Oct 23 '24 ATL vs. BRK,19,2,116,2838,527,1156,185,523,141,205,121,410,147,89,59,132,237,1380,0.456,0.354,0.688,24.5,11.9,3.5,1.3,0.8,0.5,risacza01,80.5,195,6′ 9.50”,8′ 11.00”,,31,19.1,04/08/05,,,
6,Adem Bona,Oct 23 '24 PHI vs. MIL,21,2,102,1618,202,307,2,6,113,169,169,416,37,41,126,93,218,519,0.658,0.333,0.669,15.9,5.1,4.1,0.4,0.4,1.2,bonaad01,80.25,243.2,7′ 3.75”,9′ 0.00”,35,40,21.13,03/28/03,3.01,11.01,3.15
