Rk,YEAR,Player,POS,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,HANDL,HANDW,Standing Vertical,Leaping Vertical,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
42,2021,Aaron Henry,SF,Oct 20 '21 PHI @ NOP,22,1,6,2.83,0.17,0.83,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.33,0.33,0.33,0.33,henryaa01,76.5,209.6,82.75,103.5,8.5,9.3,29,35,11.68,3.18,3.07,NA,108.20%,78.6,132.5,138.5
51,2023,Aaron Holiday,PG,Oct 17 '18 IND vs. MEM,22,1,50,12.92,2.10,5.24,0.86,2.54,0.82,1.00,0.10,1.34,1.74,0.42,0.26,0.80,1.42,5.88,holidaa01,71.75,187,79.5,97,8.75,8.5,25.5,33,10.96,3.22,3.27,NA,110.80%,74.4,122.5,130
119,2019,Aaron Wiggins,SG-SF,Nov 14 '21 OKC vs. BRK,23,1,50,24.18,3.12,6.74,0.84,2.76,1.24,1.70,1.02,3.56,1.36,0.60,0.20,1.08,1.86,8.32,wiggiaa01,76.5,190,81.75,103,8.75,8.5,29.5,36,11.2,3,3.04,NA,106.90%,74.4,132.5,139
25,2024,Adam Flagler,PG,Feb 23 '24 OKC vs. WAS,24,1,2,7.00,0.50,3.50,0.50,3.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.50,flaglad01,73,191.8,76.5,97,8,9.3,31,36,10.96,NA,3,NA,104.80%,74,128,133
76,2021,Adama Sanogo,C,Dec 28 '23 CHI vs. IND,21,1,9,7.33,1.56,3.00,0.00,0.00,0.89,1.33,2.11,4.00,0.00,0.11,0.00,0.56,0.56,4.00,sanogad01,79.3,257.8,86.8,108.5,9.75,10,28.5,31,11.5,NA,3.31,NA,109.50%,97.5,137,139.5
6,2024,Adem Bona,C,Oct 23 '24 PHI vs. MIL,21,1,58,15.60,2.33,3.31,0.00,0.02,1.16,1.72,1.59,4.22,0.47,0.45,1.19,1.05,2.16,5.81,bonaad01,80.3,243.2,87.8,108,10,10,35,40,11,3,3,NA,109.30%,95,143,148
47,2018,AJ Johnson,SG,Oct 23 '24 MIL @ PHI,20,1,29,22.03,2.83,7.34,0.83,3.10,1.10,1.28,0.28,2.03,2.62,0.41,0.10,1.21,1.72,7.59,johnsaj01,76.3,167,80.5,102,8.5,8.5,29,38,10.76,2.87,3.15,NA,105.60%,72.3,131,140
67,2022,Ajay Mitchell,PG,Oct 24 '24 OKC @ DEN,22,1,36,16.58,2.53,5.11,0.64,1.67,0.81,0.97,0.50,1.89,1.78,0.69,0.11,0.81,1.89,6.50,mitchaj01,75.3,197,78.3,101,8.5,8.5,28,33.5,11.12,2.95,3.11,NA,104.00%,72.3,129,134.5
81,2018,Alex Sarr,C,Oct 24 '24 WAS vs. BOS,19,1,67,27.07,4.87,12.36,1.57,5.09,1.67,2.46,1.85,6.49,2.40,0.66,1.51,1.70,2.18,12.97,sarral01,83.8,224.2,88.3,110,9,10,30.5,37,11.43,3.23,3.27,NA,105.40%,90,140.5,147
58,2023,Alize Johnson,PF,Oct 19 '18 IND @ MIL,22,1,14,4.57,0.29,1.14,0.07,0.14,0.29,0.57,0.29,1.36,0.07,0.07,0.21,0.00,0.50,0.93,johnsal02,79.25,216.6,80.75,103,8.5,9.8,25,31,11.83,3.28,3.38,8,101.90%,82.9,128,134
