Rk,Player,Debut,Age,Yrs,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vertical,Vertical Leap,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
25,Adam Flagler,Feb 23 '24 OKC vs. WAS,24,1,7.0,0.50,3.50,0.50,3.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.50,flaglad01,73,191.8,76.5,97,8,9.3,31,36,10.96,NA,3,NA,104.80%,74,128,133
76,Adama Sanogo,Dec 28 '23 CHI vs. IND,21,1,7.3,1.56,3.00,0.00,0.00,0.89,1.33,2.11,4.00,0.00,0.11,0.00,0.56,0.56,4.00,sanogad01,79.3,257.8,86.8,108.5,9.75,10,28.5,31,11.5,NA,3.31,NA,109.50%,97.5,137,139.5
3,Amari Bailey,Nov 12 '23 CHO @ NYK,19,1,6.5,0.80,2.40,0.10,0.80,0.60,0.70,0.60,0.90,0.70,0.30,0.00,0.40,0.20,2.30,baileam01,75.3,190.8,79,103.5,8,9.3,28.5,35,11,NA,3.19,NA,105.00%,74,132,138.5
43,Andre Jackson Jr.,Oct 29 '23 MIL vs. ATL,22,1,10.0,0.88,1.75,0.30,0.81,0.14,0.19,0.75,1.98,0.88,0.28,0.11,0.49,1.61,2.19,jacksan01,77.5,198.4,81.8,103,8.25,9.5,31,40,10.83,NA,3,NA,105.50%,78.4,134,143
7,Anthony Black,Oct 25 '23 ORL vs. HOU,20,1,16.9,1.67,3.58,0.54,1.36,0.71,1.16,0.48,2.01,1.32,0.51,0.30,0.81,1.59,4.58,blackan01,77.8,210,79.5,102.5,8.25,9.5,32,39,11,NA,3,NA,102.30%,78.4,134.5,141.5
80,Ben Sheppard,Oct 25 '23 IND vs. WAS,22,1,14.3,1.58,4.02,0.86,2.74,0.40,0.46,0.26,1.56,0.93,0.58,0.04,0.26,1.54,4.42,sheppbe01,77.3,194.6,79.8,100,8.5,9.5,29.5,35.5,10.88,2.98,3.17,NA,103.20%,80.8,129.5,135.5
70,Brandin Podziemski,Oct 30 '23 GSW @ NOP,20,1,26.6,3.66,8.07,1.22,3.16,0.68,1.07,1.59,5.77,3.69,0.82,0.19,1.19,1.65,9.22,podzibr01,75.8,203.8,77.5,96.5,8.25,10,31.5,39,11.16,3.2,3.21,NA,102.30%,82.5,128,135.5
98,Cam Whitmore,Oct 25 '23 HOU @ ORL,19,1,18.7,4.51,9.94,1.68,4.68,1.62,2.38,0.94,3.83,0.70,0.64,0.36,0.98,1.36,12.32,whitmca01,77.8,235,80.5,103.5,8,8.3,31.5,40.5,10.82,3.33,3.2,NA,103.50%,66,135,144
95,Cason Wallace,Oct 25 '23 OKC @ CHI,20,1,20.6,2.65,5.39,1.20,2.85,0.35,0.45,0.63,2.28,1.46,0.93,0.45,0.55,1.57,6.84,wallaca01,74.5,195.2,80.5,101,8.5,9.3,28,36,10.82,NA,3.34,NA,108.10%,78.6,129,137
53,Chris Livingston,Nov 1 '23 MIL @ TOR,20,1,4.3,0.52,1.05,0.05,0.24,0.14,0.19,0.14,1.00,0.24,0.10,0.00,0.24,0.71,1.24,livinch01,78,219.2,83.3,104.5,8.5,9,30.5,37,11.65,NA,3.27,NA,106.70%,76.5,135,141.5
49,Colby Jones,Oct 25 '23 SAC @ UTA,21,1,6.4,0.93,2.37,0.07,0.73,0.20,0.37,0.57,1.33,0.67,0.23,0.17,0.33,0.97,2.13,jonesco02,76.5,199.2,80,103,8.25,8.5,30.5,35,11.14,3.13,3.33,NA,104.60%,70.1,133.5,138
