Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Stading Reach,Vertical,Max Vert,Age,Birthday,Reaction Shuttle,Lane Agility,3/4 Sprint
29,Zach Edey,Oct 23 '24 MEM @ UTA,22,2,77,22.08,4.06,6.90,0.25,0.74,1.49,2.06,3.57,8.70,1.00,0.56,1.38,1.48,2.84,9.87,edeyza01,87.75,299,94.75,115,26,31.5,22.17,03/14/02,3.01,11.19,3.42
17,Donovan Clingan,Oct 23 '24 POR vs. GSW,20,2,117,23.06,3.44,6.48,0.54,1.74,1.21,1.91,3.85,9.38,1.50,0.49,1.54,1.08,2.62,8.62,clingdo01,85.75,282,90.75,115,25.5,29,20.23,02/23/04,3.38,12.06,3.46
73,Quinten Post,Dec 27 '24 GSW @ LAC,24,2,96,16.76,2.88,6.52,1.58,4.25,0.48,0.59,0.90,3.69,1.34,0.41,0.46,0.76,1.94,7.81,postqu01,84,244.4,86.5,112,24,27,24.15,03/21/00,3.03,11.48,3.4
81,Alex Sarr,Oct 24 '24 WAS vs. BOS,19,2,108,27.50,5.66,12.99,1.34,4.26,1.91,2.79,2.04,6.98,2.56,0.72,1.69,1.70,2.14,14.56,sarral01,83.75,224.2,88.25,110,30.5,37,19.05,04/26/05,3.23,11.43,3.27
99,Kel'el Ware,Oct 23 '24 MIA vs. ORL,20,2,115,22.23,4.23,7.77,0.81,2.23,0.90,1.22,2.30,8.18,0.77,0.68,1.07,0.90,1.68,10.16,wareke01,83.75,230,88.5,112.5,32.5,36,20.07,04/20/04,2.91,10.97,3.29
30,Jesse Edwards,Mar 2 '25 MIN @ PHO,24,1,2,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.00,0.00,edwarje01,83.5,236,89,111,30.5,35.5,24.16,03/18/00,3.23,11.24,3.33
42,Ariel Hukporti,Oct 22 '24 NYK @ BOS,22,2,62,8.84,0.76,1.27,0.02,0.06,0.39,0.61,0.82,2.53,0.48,0.10,0.56,0.66,1.27,1.92,hukpoar01,82.75,246.2,86.5,111,,,22.09,04/12/02,,,
33,Kyle Filipowski,Oct 25 '24 UTA vs. GSW,21,2,125,21.61,3.60,7.29,0.98,2.82,1.46,2.15,1.66,6.36,1.98,0.70,0.35,1.39,2.58,9.64,filipky01,82.75,229.8,82.5,107,27,32.5,20.52,11/07/03,2.93,11.43,3.19
66,Yves Missi,Oct 23 '24 NOP vs. CHI,20,2,120,23.86,3.18,5.85,0.00,0.02,1.37,2.24,3.27,7.22,1.30,0.43,1.35,0.98,1.88,7.73,missiyv01,82.75,229.4,86,109.5,31,38.5,20,05/14/04,3.12,11.45,3.12
14,Ulrich Chomche,Oct 23 '24 TOR vs. CLE,19,1,7,4.57,0.29,0.71,0.00,0.00,0.14,0.29,0.57,1.14,0.29,0.00,0.14,0.29,0.71,0.71,chomcul01,82.25,232.4,88,109,29,35.5,18.37,12/30/05,2.84,11.74,3.1
