userAccuracy,opponentAccuracy,gameUrl,gameId,timeClass,fen,userColor,userRating,opponent,opponentRating,opponentUrl,result,wonBy,date,openingUrl,opening,startTime,endTime,outcome,moveCount
78.68,74.29,https://www.chess.com/game/live/692670646?ref_id=74104030,692670646,blitz,8/8/7p/7P/1p6/pBkpp2b/8/4K3 w - -,black,2438,Godswill,2163,https://www.chess.com/member/Godswill,win,timeout,2014.01.06,https://www.chess.com/openings/Indian-Game-Accelerated-Variation-3.Nc3-Bb7-4.f3,Indian Game Accelerated Variation 3.Nc3 Bb7 4.f3,23:54:43,0:00:32,54,timeout
92.29,83.1,https://www.chess.com/game/live/692667823?ref_id=74104030,692667823,blitz,6k1/1p2R3/p1p5/8/2P1B3/1P1P1p1P/P6K/8 b - -,white,2354,Godswill,2167,https://www.chess.com/member/Godswill,win,resigned,2014.01.06,https://www.chess.com/openings/Vienna-Game-Max-Lange-Paulsen-Variation-3...g6-4.Bg2-Bg7,Vienna Game Max Lange Paulsen Variation 3...g6 4.Bg2 Bg7,23:50:17,23:54:39,36,resigned
76.61,89.63,https://www.chess.com/game/live/692709077?ref_id=74104030,692709077,blitz,2r1r3/p5Q1/5p2/1pp1kPp1/4p3/1P1b2P1/P5B1/qNK4R w - -,white,2491,Dmitriy_From_Russia,2272,https://www.chess.com/member/Dmitriy_From_Russia,resigned,,2014.01.07,https://www.chess.com/openings/Kings-Fianchetto-Opening,Kings Fianchetto Opening,0:57:07,1:00:35,32,resigned
83.76,79.54,https://www.chess.com/game/live/692711265?ref_id=74104030,692711265,blitz,8/7p/6p1/1p6/p1pnk3/P7/1P4KP/3B4 w - -,black,2523,Dmitriy_From_Russia,2268,https://www.chess.com/member/Dmitriy_From_Russia,win,resigned,2014.01.07,https://www.chess.com/openings/Owens-Defense,Owens Defense,1:00:52,1:05:23,46,resigned
88.4,87.83,https://www.chess.com/game/live/692702800?ref_id=74104030,692702800,blitz,8/8/4B3/4kp2/7p/3K4/8/8 w - -,black,2556,Dmitriy_From_Russia,2263,https://www.chess.com/member/Dmitriy_From_Russia,win,timeout,2014.01.07,https://www.chess.com/openings/English-Opening-1...d6,English Opening 1...d6,0:46:24,0:52:10,60,timeout
89.23,87.22,https://www.chess.com/game/live/692715127?ref_id=74104030,692715127,blitz,8/2k5/1p1r4/p1p1K3/P1P5/1P6/8/8 w - -,black,2568,Dmitriy_From_Russia,2262,https://www.chess.com/member/Dmitriy_From_Russia,win,resigned,2014.01.07,https://www.chess.com/openings/English-Opening-Symmetrical-Variation-2.b3-Nc6-3.Bb2,English Opening Symmetrical Variation 2.b3 Nc6 3.Bb2,1:07:35,1:13:22,80,resigned
89.74,75.89,https://www.chess.com/game/live/692706463?ref_id=74104030,692706463,blitz,r2q2rk/1pp2p2/p6Q/2PPpP2/n3N1Pp/P7/6B1/5RK1 b - -,white,2590,Dmitriy_From_Russia,2260,https://www.chess.com/member/Dmitriy_From_Russia,win,checkmate,2014.01.07,https://www.chess.com/openings/Indian-Game-Tartakower-Attack...4.e4-d6-5.Ne2-O-O-6.O-O,Indian Game Tartakower Attack...4.e4 d6 5.Ne2 O O 6.O O,0:52:56,0:55:45,30,checkmated
90.62,81.39,https://www.chess.com/game/live/692714070?ref_id=74104030,692714070,blitz,r1b1n3/1p2qkr1/p1pPp1pR/4Pp2/5N2/6P1/PPPQ2B1/2K4R b - -,white,2548,Dmitriy_From_Russia,2265,https://www.chess.com/member/Dmitriy_From_Russia,win,resigned,2014.01.07,https://www.chess.com/openings/Pirc-Defense-Main-Line-Austrian-Unzicker-Attack-6...dxe5-7.fxe5,Pirc Defense Main Line Austrian Unzicker Attack 6...dxe5 7.fxe5,1:05:40,1:07:17,24,resigned
92.53,61.02,https://www.chess.com/game/live/692708473?ref_id=74104030,692708473,blitz,rnbqk1nr/ppp1p1bp/3p2p1/6N1/4P3/8/PPPP1PPP/RNBQK2R w KQ -,black,2616,Dmitriy_From_Russia,2258,https://www.chess.com/member/Dmitriy_From_Russia,win,resigned,2014.01.07,https://www.chess.com/openings/Pirc-Defense-2.Bc4,Pirc Defense 2.Bc4,0:56:09,0:56:38,5,resigned
94.41,86.88,https://www.chess.com/game/live/692700868?ref_id=74104030,692700868,blitz,2R5/1p3rkp/1B1p1bp1/p2Pp3/P3B3/6PP/5P1K/8 b - -,white,2509,Dmitriy_From_Russia,2266,https://www.chess.com/member/Dmitriy_From_Russia,win,resigned,2014.01.07,https://www.chess.com/openings/Kings-Indian-Defense-Fianchetto-Variation-4...O-O-5.e4-d6-6.Ne2,Kings Indian Defense Fianchetto Variation 4...O O 5.e4 d6 6.Ne2,0:43:10,0:46:10,34,resigned
