GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,TIME_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_SCORE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,EXACT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,20900982,487,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,1,1,Made Shot,Step Back Jump shot,3PT Field Goal,3,Above the Break 3,Right Side Center(RC),24+ ft.,31,31.73972275,129,290,1,1,20100313,GSW,TOR
Shot Chart Detail,20900101,429,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,1,721,Made Shot,Pullup Jump shot,3PT Field Goal,3,Above the Break 3,Right Side Center(RC),24+ ft.,29,29.25645228,187,225,1,1,20091109,GSW,MIN
Shot Chart Detail,20900141,360,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,55,775,Made Shot,Jump Shot,3PT Field Goal,3,Above the Break 3,Left Side Center(LC),24+ ft.,29,29.36205034,-142,257,1,1,20091114,MIL,GSW
Shot Chart Detail,20900751,549,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,55,55,Made Shot,Pullup Jump shot,3PT Field Goal,3,Above the Break 3,Left Side Center(LC),24+ ft.,29,29.92022727,-131,269,1,1,20100206,GSW,OKC
Shot Chart Detail,20900756,179,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,34,2074,Made Shot,Pullup Jump shot,3PT Field Goal,3,Above the Break 3,Left Side Center(LC),24+ ft.,28,28.73412605,-161,238,1,1,20100208,GSW,DAL
Shot Chart Detail,20901200,173,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,30,2070,Made Shot,Pullup Jump shot,3PT Field Goal,3,Above the Break 3,Left Side Center(LC),24+ ft.,28,28.0777492,-106,260,1,1,20100411,GSW,OKC
Shot Chart Detail,20900181,249,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,29,1529,Made Shot,Pullup Jump shot,3PT Field Goal,3,Above the Break 3,Left Side Center(LC),24+ ft.,27,27.05198699,-134,235,1,1,20091120,GSW,POR
Shot Chart Detail,20900383,340,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,15,975,Made Shot,Pullup Jump shot,3PT Field Goal,3,Above the Break 3,Center(C),24+ ft.,27,27.90877998,7,279,1,1,20091218,GSW,WAS
Shot Chart Detail,20900602,454,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,23,803,Made Shot,Pullup Jump shot,3PT Field Goal,3,Above the Break 3,Right Side Center(RC),24+ ft.,27,27.02961339,198,184,1,1,20100118,GSW,CHI
Shot Chart Detail,20900634,162,201939,Stephen Curry,1610612744,Golden State Warriors,2,8,59,1979,Made Shot,Step Back Jump shot,3PT Field Goal,3,Above the Break 3,Right Side Center(RC),24+ ft.,27,27.47671742,176,211,1,1,20100122,GSW,NJN
