pos,best,average,value1,value2,value3,value4,value5,competitionId,eventId,roundTypeId,personName,personId,formatId,regionalSingleRecord,regionalAverageRecord,personCountryId
2,538,637,618,619,674,724,538,TianjinSummerSolstice2021,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
3,603,748,762,805,677,603,807,TianjinSummerSolstice2021,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,573,681,640,573,778,696,708,TianjinSummerSolstice2021,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,395,544,520,535,667,395,578,SingaporeChampionship2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,470,491,478,470,553,519,475,SingaporeChampionship2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,AsR,China
2,520,568,586,555,769,520,563,SingaporeChampionship2023,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,507,534,612,507,510,577,514,SingaporeChampionship2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,432,523,432,621,449,499,751,HanoiSuperBrainZyo2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,477,546,496,477,597,545,749,HanoiSuperBrainZyo2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,427,537,427,499,582,534,578,HanoiSuperBrainZyo2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,551,581,613,560,551,634,569,YJKL2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,454,581,610,572,561,454,-1,YJKL2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,390,469,435,390,441,531,616,YJKL2023,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,WR,China
1,529,597,529,542,626,808,623,YJKL2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
