playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478047,2024,Michael Bunting,NSH,L,all,76,70819,1474,43.7,0.55,0.46,0.58,0.48,0.58,0.47,442,177,25.19,13.12,39.4,6.19,91.25,61.85,22.85,25.01,22.68,12,7,155,82,76,313,38,19,24,4,37,0,69,88,136,218,26,58,5,70,13,58,137,69,31,4.1,8.95,12.13,3,8,8,311.22,237,235.42,11,3.04,5.09,8.28,19.95,19.85,19.21,1474,231,82,216,945,232,204,215,823,5,8,206470,58,50,25,19,720.83,73.36,68.43,73.39,68.47,625,358,408,1391,67,89,10,702,199,82,19.41,25.5,28.45,21,25,21,1386.61,983,980.93,11.77,19.02,19.02,66.1,66.23,63.74,522.98,58.97,56.18,59.82,56.92,506,220,287,1013,60,63,4,519,133,74,14.68,17.1,27.19,19,22,19,1025.13,726,735.86,7.1,11.43,11.43,54.65,55.28,54.07,161.54,187.75,3221,3522,0,0,0,0,0,0
8480950,2024,Ilya Lyubushkin,DAL,D,all,80,83457,1763,10.38,0.42,0.55,0.41,0.54,0.41,0.52,338,65.75,2.33,3.35,18.4,2.23,39.13,29.56,2.28,2.36,2.3,4,9,51,44,51,146,14,1,6,0,13,0,26,49,50,94,16,32,0,84,20,109,93,1,1,1.82,0.11,0.4,1,0,0,148.55,95,96.32,72,0.68,1.28,0.03,2.98,3.02,2.94,1763,114,361,305,983,210,226,199,1128,0,0,206701,32,16,8,136,581.15,58.71,56.75,58.71,56.78,530,267,300,1097,53,60,3,559,168,70,16.66,20.62,21.42,21,17,15,1105.49,797,801.99,7.65,11.67,12.14,54.21,54.45,53.39,835.97,80.07,75.84,79.91,75.68,761,380,437,1578,74,76,8,835,217,89,23.44,25.47,31.16,22,27,25,1567.42,1141,1134.2,12.99,17.39,17.39,75.67,75.39,73.31,203.99,166.76,3688,3128,0,0,0,0,0,0
8477369,2024,Carson Soucy,NYR,D,all,75,80618,1872,8.07,0.37,0.51,0.42,0.53,0.41,0.52,303,87.27,3.13,4.8,23.46,2.79,53.64,39.18,3.07,3.15,3.08,3,6,81,46,69,196,13,4,7,0,21,0,39,56,77,123,18,36,0,115,17,78,123,3,1,2.35,0.43,0.35,4,0,0,195.73,127,127.79,52,0.96,1.12,0.09,4,4.02,3.93,1872,126,273,240,1233,194,232,221,1225,0,0,192377,36,8,4,106,538.63,46.34,44.59,47.17,45.37,480,270,299,1049,42,52,8,584,115,51,14.99,14.73,16.61,20,12,10,1062.47,750,761.67,6.85,10.21,10.29,42.89,43.55,42.73,768.99,77.43,73.71,77.42,73.7,687,375,391,1453,77,79,12,781,197,84,20.93,25.13,31.37,25,24,28,1454.16,1062,1063.32,11.61,18.94,18.94,70.1,70.13,68.14,159.15,151.54,3199,2871,0,0,0,0,0,0
8481518,2024,Nolan Foote,NJD,L,all,7,4126,102,1.92,0.57,0.55,0.58,0.55,0.58,0.54,72,8.64,0.51,0.53,2.4,0.32,4.67,3.58,0.51,0.48,0.48,0,1,5,7,3,15,1,0,0,0,0,0,4,8,5,12,0,0,1,11,1,2,9,3,0,0.25,0.26,0,0,0,0,13.89,12,11.31,0,0.11,0,0,0.62,0.58,0.58,102,9,8,6,79,15,13,10,64,1,1,21464,0,0,0,1,36.49,2.71,2.55,2.58,2.42,33,17,18,68,3,5,2,41,5,4,1.05,0.49,1.17,2,0,1,63.59,50,47.29,0.45,1.12,1.12,2.05,1.94,1.89,25.26,2.08,2.06,2.1,2.09,23,13,14,50,3,0,0,27,8,1,0.9,0.97,0.21,2,1,0,51.58,36,36.64,0.33,0,0,2.41,2.44,2.42,20.9,17.22,383,309,0,0,0,0,0,0
8477964,2024,Ivan Barbashev,VGK,C,all,70,70553,1338,49.58,0.54,0.54,0.51,0.5,0.51,0.51,324,132.87,18.33,9.58,29.15,4.56,67.99,50.4,16.91,18.46,17.04,20,8,111,69,51,231,51,23,12,1,18,0,57,70,88,157,5,10,12,104,18,78,97,63,20,3.92,7.83,6.58,8,12,3,233.38,180,181.54,24,2.08,2.97,4,16.41,16.54,15.56,1338,207,136,208,787,220,187,215,716,12,21,184264,10,26,12,33,639.76,63.81,60.2,64.44,60.79,588,291,339,1218,74,68,9,630,177,72,19.72,21.72,22.37,28,28,18,1232.19,879,887.39,9.11,13.42,13.25,59.67,60.27,57.74,610.98,53.46,50.85,53.32,50.7,533,309,331,1173,43,58,6,638,142,62,17.48,17.89,18.09,22,13,8,1166.09,842,838.67,8.33,12.47,12.47,49.31,49.2,47.82,167.75,145.3,2965,2942,0,0,0,0,0,0
8481178,2024,Egor Zamula,PHI,D,all,63,62455,1396,15.28,0.53,0.51,0.5,0.48,0.52,0.49,309,38.87,1.52,2.07,11.29,1.35,23.73,17.04,1.51,1.52,1.5,5,7,37,20,56,113,15,3,2,0,12,0,12,28,34,54,3,6,0,24,15,52,55,1,1,1.05,0.11,0.36,3,0,0,111.22,57,56.82,35,0.43,0.03,0,1.95,1.94,1.93,1396,105,114,169,1008,171,168,184,873,0,0,168044,6,4,2,91,500.43,44.48,42.84,44.85,43.19,452,234,257,943,41,57,9,527,112,47,15.44,14.52,14.51,20,13,8,942.11,686,687.85,6.98,11.37,11.92,39.53,39.65,39.27,453.62,38.71,37.21,39.05,37.56,420,205,317,942,58,38,3,473,116,36,13.24,14.83,10.63,27,19,12,958.6,625,634.87,6.17,7.83,7.83,37.05,37.45,36.73,150.43,145.02,2573,2833,0,0,0,0,0,0
8484153,2024,Leo Carlsson,ANA,C,all,76,74056,1474,35.19,0.51,0.43,0.53,0.43,0.53,0.43,417,125.28,17.18,8.84,27.81,4.41,68.71,48.05,16.45,17.14,16.41,11,13,114,61,52,227,44,20,11,2,18,1,55,70,94,155,7,14,302,24,18,51,113,44,18,4.31,5.52,7.35,6,9,5,227.06,175,175.21,19,1.99,1.87,4.32,14.86,14.84,14.33,1474,287,153,218,816,195,261,193,825,302,428,203100,14,28,15,36,689.25,67.36,64.34,67.11,64.1,635,326,345,1306,64,71,7,720,171,70,22.33,21.05,23.98,29,21,14,1297.45,961,956.72,10.67,15.09,15.09,62.94,62.83,61.02,619.81,64.81,61.8,65.09,62.09,561,296,322,1179,47,51,6,632,145,80,19.18,18.26,27.37,21,11,15,1188.25,857,863.44,8.58,12.34,12.34,61.05,61.32,59.42,155.56,207.92,3070,3987,0,0,0,0,0,0
8479353,2024,Brett Howden,VGK,C,all,80,71342,1531,39.75,0.49,0.56,0.47,0.52,0.48,0.53,542,135.88,19.84,9.17,28.63,4.4,65.81,53.15,19.35,19.86,19.38,9,8,125,56,36,217,40,23,10,2,17,1,58,72,102,158,19,46,272,121,22,42,105,48,28,3.7,6.22,9.91,8,7,8,218.76,181,181.85,8,1.96,2.23,3.17,18.63,18.65,18.45,1531,181,211,228,911,228,193,230,880,272,244,219475,46,40,17,56,582.74,59.63,56.78,60.07,57.21,535,265,264,1064,63,58,10,590,137,73,16.39,17.03,26.22,26,15,22,1077.08,800,807.64,7.71,11.77,11.81,55.54,55.94,54.09,628.78,62.13,58.29,62.13,58.28,539,324,359,1222,61,70,12,642,153,68,18.82,18.67,24.64,26,13,22,1212.06,863,860.03,9.24,16.46,16.39,54.98,54.93,52.36,209.39,164.66,3772,3463,0,0,0,0,0,0
8474641,2024,Adam Henrique,EDM,C,all,81,71170,1583,23.44,0.46,0.57,0.44,0.57,0.45,0.56,493,108.04,12.78,7.79,24.77,3.54,55.17,42.95,11.84,12.78,11.85,5,10,104,43,34,181,27,12,17,1,18,0,45,55,92,135,8,16,562,58,19,57,93,40,14,3.53,5.03,4.22,6,4,2,181.78,147,147.85,19,1.71,3.32,3.39,11.11,11.15,10.93,1583,174,360,248,801,215,164,218,986,562,448,222601,16,8,4,85,520.67,51.82,48.51,51.95,48.66,508,204,296,1008,49,55,11,530,127,55,15.62,15.86,20.33,18,14,17,1012.59,712,715.45,7.57,11.94,11.86,47.52,47.7,45.93,631.87,60.52,57.79,60.83,58.07,583,287,427,1297,54,60,6,672,130,68,19.48,15.97,25.08,21,17,16,1293.5,870,871.93,9.47,13.71,13.71,56.28,56.45,54.8,220.82,165.56,4103,3142,0,0,0,0,0,0
8478904,2024,Steven Lorentz,TOR,C,all,80,50654,1265,17.46,0.42,0.5,0.42,0.48,0.44,0.49,817,84.18,8.42,5.25,19.9,2.89,41.35,34.18,7.99,8.44,8.01,5,6,76,36,28,140,19,8,5,0,11,0,40,48,68,104,3,9,12,199,12,25,78,21,13,2.02,2.63,3.77,4,2,2,139.59,112,111.47,14,1.11,1.06,2.5,7.02,7.02,6.87,1265,39,183,199,844,172,173,158,762,12,21,239421,9,17,7,55,327.53,26.82,25.89,26.99,26.06,294,157,167,618,27,33,0,344,77,30,8.45,9.84,8.54,15,7,5,620.66,451,451.76,4.21,5.72,5.91,25.11,25.19,24.74,408.84,36.59,34.85,36.61,34.86,372,199,279,850,31,36,4,442,90,39,12.28,11.27,13.03,13,9,9,838.12,571,566.52,5.92,7.84,7.84,34.66,34.61,33.73,228.27,224.21,3901,4223,0,0,0,0,0,0
